"Item Code","Item","Description","HS Code","HS07 Code","HS12 Code","CPC Code"
"603","Fruit, tropical fresh nes","Including inter alia: breadfruit (Artocarpus incisa); carambola (Averrhoa carambola); cherimoya, custard apple (Annona spp.); durian (Durio zibethinus); feijoa (Feijoa sellowiana); guava (Psidium guajava); hog plum, mombin (Spondias spp.); jackfruit (Artocarpus integrifolia); longan (nephelium longan); mammee (Mammea americana); mangosteen (Garcinia mangostana); naranjillo (Solanum quitoense); passion fruit (Passiflora edulis); rambutan (nephelium lappaceum); sapote, mamey colorado (Calocarpum mammosum); sapodilla (Achras sapota); star apple, cainito (Chrysophyllum spp.). Other tropical fresh fruit that are not identified separately because of their minor relevance at the international level. In some countries mangoes, avocados, pineapples, dates and papayas are reported under this general category.","","080450, 081060, 081090","080450, 081060, 081090","01319"
"406","Garlic","Allium sativum.","","070320","070320","01252"
"57","Germ, maize","The seed embryo that is separated during processing and is valued mainly for its oil.","","110430","110430","23140.06"
"953","Ghee, of buffalo milk","","","040590","040590","22242.02"
"720","Ginger","Zingiber officinale. Rhizome of a perennial herb. It also is used for making beverages. Includes fresh, provisionally preserved or dried, whereas ginger preserved in sugar or syrup is excluded.","","091010","091011, 091012","01657"
"172","Glucose and dextrose","Glucose is a monosaccharide produced by hydrolysing starch with acids and/or enzymes. Dextrose is chemically pure glucose. Used in the food industry, in brewing, in tobacco fermentation and in pharmaceutical products.","","170230, 170240","170230, 170240","23210.05"
"1016","Goats","Capra spp.. See 866. Includes Hircus, Ibex, Nubiana, Pyrenaica, Tibetana, Kashmir and Angora.","","010420","010420","02123"
"549","Gooseberries","Ribes grossularia. Trade data may sometimes include black, white or red currants.","","081090","081030","01351.02"
"103","Grain, mixed","A mixture of cereal species that are sown and harvested together. The mixture wheat/rye is known as meslin, but in trade is usually classified with wheat.","","100890","100890","01199.02"
"507","Grapefruit (inc. pomelos)","Citrus maxima; C. grandis; C. paradisi.","","080540","080540","01321"
"560","Grapes","Vitis vinifera. Includes both table and wine grapes.","","080610","080610","01330"
"994","Grease incl. lanolin wool","Extracted from the soapy water in which wool has been scoured, or from greasy wool by meand of solvents. Lanolin is obtained by purifying wool grease. Includes wool grease olein and stearin.","","150500","150500","F0994"
"243","Groundnuts, shelled","Used as direct food and for extracting oil.","","120220","120242","21421"
"1218","Hair, fine","Fine animal hair, mainly from alpaca, llama, vicu¤a, camel and angora rabbit. Excludes carded or combed hair.","","510219","510219","02943.02"
"1031","Hair, goat, coarse","Common goat hair. Not carded or combed hair.","","510220","510220","02942.02"
"858","Hay (clover, lucerne,etc)","Hay from leguminous crops.","","121490","121490","01919.10"
"859","Hay (unspecified)","Hay from unspecified plants.","","121490","121490","01919.11"
"233","Hazelnuts, shelled","Around 50% of the weight in shell.","","080222","080222","21423"
"1213","Hides and skins nes, fresh","See 919. Both adult and young animals. Includes, among others, chamois, antelope, crocodile and snake.","","410320, 410390","410320, 410390","02959.91"
"959","Hides, buffalo, dry salted","See 921.","","410120, 410150, 410190","410120, 410150, 410190","02951.09"
"957","Hides, buffalo, fresh","See 919. Both adult and young animals.","","410120, 410150, 410190","410120, 410150, 410190","02951.03"
"958","Hides, buffalo, wet salted","See 920.","","410120, 410150, 410190","410120, 410150, 410190","02951.08"
"1136","Hides, camel, nes","See 922.","","410390","410390","02959.08"
"1134","Hides, camel, wet salted","See 920.","","410390","410390","02959.06"
"919","Hides, cattle, fresh","Green hide or skin as removed from the carcass of the animal (adult bovine). Used for production data only.","","410120, 410150, 410190","410120, 410150, 410190","02951.01"
"920","Hides, cattle, wet salted","Approximately 80-85% of green weight.","","410120, 410150, 410190","410120, 410150, 410190","02951.04"
"1104","Hides, horse, dry salted","See 921. Includes hides of asses and mules.","","410120, 410150, 410190","410120, 410150, 410190","02952.05"
"1216","Hides, nes","See 922.","","410320, 410390","410320, 410390","02959.99"
"1182","Honey, natural","Honey produced by bees (Apis mellifera) or by other insects.","","040900","040900","02910"
"677","Hops","Humulus lupulus. Hop cones, fresh or dried, whether or not ground, powdered or in the form of pellets. Includes lupuline, a yellow resinous powder that covers the hop cones. Mainly used in the brewing industry to give flavour to beer.","","121010, 121020","121010, 121020","01659"
"1096","Horses","Equus caballus. See 866.","","010110, 010190","010121, 010129","02131"
"910","Ice cream and edible ice","A product with a milk or cream base to which sweeteners, eggs, etc. have been added.","","210500","210500","22270"
"109","Infant food","Preparations for infant consumption, usually containing some non-cereal ingredients.","","190110","190110","23991.01"
"514","Juice, citrus, concentrated","See 492.","","200939","200939","21439.05"
"513","Juice, citrus, single strength","See 491.","","200931","200931","21439.04"
"622","Juice, fruit nes","See 491.","","200980, 200990","200981, 200989, 200990","21439.9"
"562","Juice, grape","See 491. Includes unfermented grape must.","","200961, 200969","200961, 200969","21434"
"509","Juice, grapefruit","See 491.","","200921","200921","21432"
"510","Juice, grapefruit, concentrated","See 492.","","200929","200929","21432.01"
"499","Juice, lemon, concentrated","See 492.","","200939","200939","21439.03"
