"Item Code","Item","Description","HS Code","HS07 Code","HS12 Code","CPC Code"
"862","Alfalfa meal and pellets","Alfalfa (lucerne) dried, whole, cut, chopped, milled, pressed or pelletized.","","121410","121410","23320"
"231","Almonds shelled","Around 55% of the weight in shell.","","080212","080212","21422"
"1171","Animals live nes","Any other animal grown for meat, eggs, feathers and skins, e.g. ostrich, antelope, deer, reindeer, chamois.","","010611, 010612, 010619, 010620, 010639, 010690","010611, 010612, 010619, 010620, 010633, 010649","02199.20"
"1169","Animals, live, non-food","Any animal not raised for food. External trade data also include wild animals.","","010611, 010612, 010619, 010620, 110690","010611, 010612, 010619, 010620, 110690","02199.10"
"711","Anise, badian, fennel, coriander","Include: anise (Pimpinella anisum); badian or star anise (Illicium verum); caraway (Carum carvi); coriander (Coriandrum sativum); cumin (Cuminum cyminum); fennel (Foeniculum vulgare); juniper berries (Juniperus communis). Seeds and berries from the various plants listed. They are normally used as spices, but also have industrial (e.g. in distilleries) and medicinal applications.","","090910, 090920, 090930, 090940, 090950","090921, 090922, 090931, 090932, 090961, 090962","01654"
"515","Apples","Malus pumila; M. sylvestris; M. communis; Pyrus malus.","","080810","080810","01341"
"526","Apricots","Prunus armeniaca.","","080910","080910","01343"
"527","Apricots, dry","Prepared either by direct drying in the sun or by industrial processes. May be marketed as slices or blocks of pulp, either dried or evaporated.","","081310","081310","21419.01"
"366","Artichokes","Cynara scolymus.","","070990","070991","01216"
"367","Asparagus","Asparagus officinalis.","","070920","070920","01211"
"1107","Asses","Equus asinus. See 866.","","010110, 010190","010130","02132"
"572","Avocados","Persea americana.","","080440","080440","01311"
"1039","Bacon and ham","Meat of pigs, whether salted, in brine, dried or smoked.","","021011, 021012, 021019","021011, 021012, 021019","21181"
"203","Bambara beans","Bambara groundnut, earth pea (Voandzeia subterranea). These beand are grown underground in a similar way to groundnuts.","","071339","071334","01708"
"486","Bananas","Musa sapientum; M. cavendishii; M. nana. Bananas are normally eaten raw. Trade figures may include dried bananas. Data should be reported excluding the weight of the central stalk.","","080300","080390","01312"
"44","Barley","Hordeum spp.: two-row barley (H. disticum) six-row barley (H. hexasticum) four-row barley (H. vulgare). Tolerates poorer soils and lower temperatures better than does wheat. Varieties include with husk and without (naked). Used as a livestock feed, for malt and for preparing foods. The roasted grains are a coffee substitute.","","100300","100310, 100390","0115"
"46","Barley, pearled","Small, round pellets obtained by the further milling of pot barley. This definition also includes kibbled, rolled or flaked grains.","","110419, 110429","110419, 110429","23140.05"
"176","Beans, dry","Phaseolus spp.: kidney, haricot bean (Ph. vulgaris); lima, butter bean (Ph. lunatus); adzuki bean (Ph. angularis); mungo bean, golden, green gram (Ph. aureus); black gram, urd (Ph. mungo); scarlet runner bean (Ph. coccineus); rice bean (Ph. calcaratus); moth bean (Ph. aconitifolius); tepary bean (Ph. acutifolius). Only species of Phaseolus should be included, though several countries also include certain types of beans. Commonly classified as Vigna (angularis, mungo, radiata, aconitifolia). In the past, these species were also classified as Phaseolus.","","071331, 071332, 071333, 071339","071331, 071332, 071333, 071339","01701"
"414","Beans, green","Phaseolus and Vigna spp.. For shelling.","","070820","070820","01241.90"
"1181","Beehives","Apis mellifica; A. dorsata; A. florea; A. indica. A beehive is an artificial habitation for bees.","","010690","010641","02196"
"51","Beer of barley","Beverage that may be alcoholic or non-alcoholic that is made from fermented malted cereals (mainly barley), water and hops. Non-malted cereals may also be used. The FAO definition differs from the main international classifications in that it includes non-alcoholic beer.","","220300","220300","24310.01"
"86","Beer of sorghum","A traditional beer prepared in African countries in which sorghum is cultivated. It is normally consumed while still fermenting.","","220300","220300","24310.04"
"1183","Beeswax","The substance bees use to build the hexagonal cells of the combs of beehives. Includes other insect waxes as well, i.e. lac and Chinese wax.","","152190","152190","02960.01"
"169","Beet pulp","Residue from the extraction of sugar from the root of sugar beets. Used for animal feed.","","230320","230320","39140.01"
"634","Beverages, distilled alcoholic","Includes undenatured ethyl alcohol (strength by volume < 80%); spirits, liqueurs and other spirituous beverages and preparations.","","220820, 220830, 220840, 220850, 220860, 220870, 220890","220820, 220830, 220840, 220850, 220860, 220870, 220890","2413"
"39","Beverages, fermented rice","Low-alcohol beverages, such as rice wine and sake.","","220600","220600","24230.02"
"633","Beverages, non alcoholic","Includes sweetened or flavoured mineral waters and other non-alcoholic beverages, such as lemonade, orangeade, cola, etc. Excludes fruit and vegetable juices.","","220210, 220290","220210, 220290","24490"
"552","Blueberries","European blueberry, wild bilberry, whortleberry (Vaccinium myrtillus); American blueberry (V. corymbosum). Trade data may include cranberries, myrtle berries and other fruits of the genus Vaccinium.","","081040","081040","01355.01"
"91","Bran, buckwheat","A milling by-product.","","230240","230240","39120.09"
"96","Bran, fonio","A milling by-product.","","230240","230240","39120.10"
"59","Bran, maize","A by-product of the milling of shelled maize.","","230210","230210","39120.04"
"81","Bran, millet","A milling by-product.","","230240","230240","39120.07"
"85","Bran, sorghum","A milling by-product.","","230240","230240","39120.08"
"17","Bran, wheat","Defined broadly to include sharps and other residue from the milling, sifting or other working of the grain. Contains a little flour.","","230230","230230","39120.01"
"229","Brazil nuts, shelled","Around 55% of the weight in shell.","","080122","080122","21429.01"
"20","Bread","A baked product of flour or meal of cereals, especially wheat. Includes ordinary, unleavened, crackers, rusks, etc.","","190510, 190540, 190590","190510, 190540, 190590","F0020"
"181","Broad beans, horse beans, dry","Vicia faba: horse-bean (var. equina); broad bean (var. major); field bean (var. minor).","","071350","071350","01702"
"89","Buckwheat","Fagopyrum esculentum (Polygonaceae). A minor cereal cultivated primarily in northern regions. Buckwheat is considered a cereal, although it does not belong to the gramineous family.","","100810","100810","01192"
"946","Buffaloes","Indian, Asiatic, pigmy, water buffalo (Bubalus bubalus; B. arnee; B. depressicornis); African buffalo (genus Syncerus); American bison (Bison bison); European bison (Bison bonasus); beeffalo (cross between a bison and a domesticated beef animal). See 866. Excludes wild bisons and buffaloes.","","010210, 010290","010231, 010239","02112"
"21","Bulgur","Whole wheat grains that are boiled, dried and cracked, either between stones or in a hand mill. Very popular in the Near East.","","190430","190430","23140.02"
"264","Butter of karite nuts","A very important vegetable oil in West Africa. Used as a substitute for cocoa butter and in cosmetics.","","151590","151590","21691.03"
"886","Butter, cow milk","Emulsion of milk fat and water that is obtained by churning cream. Trade data cover butter from the milk of any animal.","","040510, 040520","040510, 040520","22241.01"
"893","Buttermilk, curdled, acidified milk","Residue from butter making. Includes kephir.","","040390","040390","22230.03"
"358","Cabbages and other brassicas","Chinese, mustard cabbage, pak-choi (Brassica chinensis); white, red, savoy cabbage, Brussels sprouts, collards, kale and kohlrabi (Brassica oleracea all var. except botrytis).","","070420, 070490","070420, 070490","01212"
"253","Cake, copra","Residue from oil extraction.","","230650","230650","21910.05"
"332","Cake, cottonseed","Residue from oil extraction.","","230610","230610","21910.15"
"245","Cake, groundnuts","Residue from oil extraction.","","230500","230500","21910.04"
"338","Cake, hempseed","Residue from oil extraction.","","230690","230690","21910.17"
"314","Cake, kapok","Residue from oil extraction.","","230690","230690","21910.14"
"335","Cake, linseed","Residue from oil extraction.","","230620","230620","21910.16"
"61","Cake, maize","A residue of the extraction of oil from germ.","","230690","230690","21910.02"
"294","Cake, mustard","Residue from oil extraction.","","230690","230690","21910.12"
"259","Cake, palm kernel","Residue from oil extraction.","","230660","230660","21910.06"
"272","Cake, rapeseed","Residue from oil extraction.","","230641, 230649","230641, 230649","21910.08"
"37","Cake, rice bran","A residue of the extraction of oil. Also known as de-oiled rice bran.","","230690","230690","21910.01"
"282","Cake, safflower","Residue from oil extraction.","","230690","230690","21910.10"
"291","Cake, sesame seed","Residue from oil extraction.","","230690","230690","21910.11"
"238","Cake, soybeans","Oilcake and other solid residues (except dregs), whether or not ground, or in the form of pellets, resulting from the extraction of fats or oils.","","230400","230400","21910.03"
"269","Cake, sunflower","Residue from oil extraction. The cake is used for feed if it is from decorticated seeds, or for fertilizer if it comes from undecorticated seeds.","","230630","230630","21910.07"
"1157","Camelids, other","Various species of Lama: e.g. glama pacos (alpaca); peruana (llama); huanacos (guanaco>); vicugna (vicu¤a). See 866.","","010619","010613","02121.02"
"1126","Camels","Bactrian camel (Camelus bactrianus); Arabian camel (C. dromedarius). See 866.","","010619","010613","02121.01"
"101","Canary seed","Phalaris canariensis. Minor cereal normally used as bird feed.","","100830","100830","01195"
"630","Cane tops","The leaves and upper part of the stalks, which are used for feed. The tops represent about 10% of the weight of the plant.","","230800","230800","39120.17"
"426","Carrots and turnips","Daucus carota. Trade data may include turnips (Brassica rapa var. rapifera).","","070610","070610","01251"
"230","Cashew nuts, shelled","Around 25% of the weight in shell.","","080132","080132","21424"
"217","Cashew nuts, with shell","Anacardium occidentale. Produced mainly in East Africa, India and Brazil.","","080131","080131","01372"
"591","Cashewapple","Anacardium occidentale. The thickened, fleshy stem below the cashew nut. When soft it is used for jam.","","081090","081090","01359.02"
"125","Cassava","Manioc, mandioca, yuca (Manihot esculenta, syn. M. utilissima); yuca dulce (M. palmata, syn. M. dulcis). A semi-permanent crop grown in tropical and subtropical regions. Sometimes bitter and sweet cassavas are referred to as separate species, the former being M. esculenta and the latter M. palmata, but this is incorrect since the toxicity varies according to location. Cassava is the staple food in many tropical countries. It is not traded internationally in its fresh state because tubers deteriorate very rapidly.","","071410","071410","01520.01"
"128","Cassava dried","Includes peeled, sliced and sun-dried (cassava chips), as well as ground and compressed cassava (pellets). Used mainly as livestock feed.","","071410","071410","01520.02"
"866","Cattle","Common ox (Bos taurus); zebu, humped ox (Bos indicus); Asiatic ox (subgenus Bibos); Tibetan yak (Poephagus grunniens). Animals of the genus listed, regardless of age, sex, or purpose raised. Data are expressed in number of heads.","","010210, 010290","010221, 010229","02111"
"393","Cauliflowers and broccoli","Brassica oleracea var. botrytis, subvariety cauliflora and cymosa. Includes headed broccoli.","","070410","070410","01213"
"113","Cereal preparations, nes","Cereal grains, excluding barley and oats, that are either rolled, flaked, pearled, sliced or kibbled.","","110419, 110423, 110429","110419, 110423, 110429","23140.08"
"41","Cereals, breakfast","Foods prepared by swelling and roasting cereals or cereal products, e.g. corn flakes, puffed rice; cereals o/t maize, in grain form, precooked or otherwise prepared.","","190410, 190420, 190490","190410, 190420, 190490","23140.03"
"907","Cheese, processed","","","040630, 040690","040630, 040690","22251.04"
"984","Cheese, sheep milk","","","040610, 040620, 040630, 040640, 040690","040610, 040620, 040630, 040640, 040690","22253"
"901","Cheese, whole cow milk","Curd of milk that has been coagulated and separated from whey. May include some skimmed milk.","","040610, 040620, 040630, 040640, 040690","040610, 040620, 040630, 040640, 040690","22251.01"
"531","Cherries","Mazzard, sweet cherry (Prunus avium; Cerasus avium); hard-fleshed cherry (var. duracina); heart cherry (var. juliana).","","080920","080929","01344.02"
"530","Cherries, sour","Prunus cerasus; Cerasus acida.","","080920","080921","01344.01"
"220","Chestnut","Castanea spp.: C. vesca; C. vulgaris; C. sativa. Produced mainly in Europe and Asia.","","080240","080241, 080242","01373"
"191","Chick peas","Chickpea, Bengal gram, garbanzos (Cicer arietinum).","","071320","071320","01703"
"1057","Chickens","Fowl (Gallus domesticus); Guinea fowl (Numida meleagris. Domesticated birds only. Data are expressed in thousands.","","010511, 010519, 010594, 010599","010511, 010515, 010594, 010599","02151"
"689","Chillies and peppers, dry","Red and cayenne pepper, paprika, chillies (Capsicum frutescens; C. annuum); allspice, Jamaica pepper (Pimenta officinalis). Uncrushed or unground fresh pimentos are considered to be vegetables.","","090420","090421, 090422","01652"
"401","Chillies and peppers, green","Capsicum annuum; C. fructescens; Pimenta officinalis. Production data exclude crops cultivated explicitly as spices. In contrast, trade data include these crops, provided they are fresh, uncrushed and unground.","","070960","070960","01231"
"666","Chocolate products nes","Includes sweetened cocoa powder, chocolate and other food preparations containing cocoa, as well as sugar confectionery containing cocoa in any amount. Excludes white chocolate (see 168).","","180610, 180620, 180631, 180632, 180690","180610, 180620, 180631, 180632, 180690","F0666"
"517","Cider etc","Fermented beverages nes (e.g. cider, perry, mead), including alcoholic beverages (that are not distilled) made from cereals, roots and fruits, that are not included under other headings, e.g. beer from plantains and ginger.","","220600","220600","24230.03"
"828","Cigarettes","Includes cigarettes of tobacco substitutes.","","240220, 240290","240220, 240290","25020.01"
"829","Cigars, cheroots","Includes cigars, cheroots and cigarillos of tobacco substitutes.","","240210, 240290","240210, 240290","25020.02"
"693","Cinnamon (canella)","Ceylon cinnamon (Cinnamomum zeylanicum); Chinese, common cinnamon, cassia (C. cassia). The inner bark of young branches of certain trees of the Laurus family. Includes cinnamon- tree flowers, cinnamon fruit and cinnamon waste (chips), whether whole, crushed or ground.","","090611, 090619, 090620","090611, 090619, 090620","01655"
"698","Cloves","Eugenia caryophyllata; Caryophyllus aromaticus. The whole fruit of the clove tree, including the flowers picked before maturity and dried in the sun, and the stems of the clove flowers.","","090700","090710, 090720","01656"
"661","Cocoa, beans","Theobroma cacao. The seeds contained in the fruit of the cacao- tree, including whole or broken, raw or roasted.","","180100","180100","01640"
"664","Cocoa, butter","Obtained by hot-pressing either cocoa paste or the whole bean. Includes the fat and oil.","","180400","180400","23620"
"662","Cocoa, paste","Obtained by grinding roasted cocoa beans. Also called liquor. Not defatted.","","180310","180310","23610.01"
"665","Cocoa, powder & cake","Wholly or partly defatted paste (cake) and cake reduced to powder, without added sugar or other sweeteners.","","180320, 180500","180320, 180500","F0665"
"249","Coconuts","Cocos nucifera Husked coconut. In shell, covered by the endocarp, while exocarp (the smooth outer skin) and mesocarp (the fibrous covering) are removed. Immature nuts contain a milky juice that is consumed as a refreshing drink. Mature nuts are consumed as such, or processed for copra or desiccated coconut. The flesh, from which copra/oil is extracted, constitutes 40-70% of the weight of the husked coconut. The oil content is about 36% of the flesh.","","080119","080112, 080119","01460"
"250","Coconuts, desiccated","Dried, shredded flesh of coconut processed for human consumption. It retains most of the oil and proteins of the fresh nut and is mainly used in confectionery and baking.","","080111","080111","21429.07"
"1187","Cocoons, unreelable & waste","Include cocoons unsuitable for reeling and silk waste of all kinds. Not carded or combed.","","500300","500300","39211"
"659","Coffee, extracts","Essences and concentrates, including instant coffee, roasted chicory and other coffee substitutes, extracts and essences thereof.","","210111, 210112, 210130","210111, 210112, 210130","23912.02"
"656","Coffee, green","Coffea spp. (arabica, robusta, liberica). Raw coffee in all forms.","","090111","090111","01610"
"660","Coffee, husks and skins","","","090190","090190","39150.01"
"657","Coffee, roasted","With or without caffeine, and whether or not ground.","","090112, 090121, 090122","090112, 090121, 090122","23911"
"658","Coffee, substitutes containing coffee","Coffee substitutes containing coffee in any proportion.","","090190","090190","23912.01"
"251","Copra","The dried flesh of coconut from which the oil is extracted.","","120300","120300","01492"
"767","Cotton lint","Gossypium spp. Fibres from ginning seed cotton that have not been carded or combed. Trade data also include fibres that have been cleaned, bleached, dyed or rendered absorbent.","","520100","520100","01921.02"
"770","Cotton linter","Very short fibres that cover the seeds after ginning and that are very high in cellulose.","","140420","140420","21800"
"769","Cotton waste","Waste is produced when cotton is prepared for spinning, or during spinning operations, weaving, knitting, etc., or from garnetting cotton goods.","","520210, 520291, 520299","520210, 520291, 520299","F0769"
"768","Cotton, carded, combed","Cotton (including garnetted stock and other cotton waste) which has been carded or combed, whether or not further prepared for spinning. May be bleached or dyed.","","520300","520300","26160"
"329","Cottonseed","Used for extracting oil.","","120720","120721, 120729","0143"
"554","Cranberries","American cranberry (Vaccinium macrocarpon); European cranberry (V. oxycoccus). Trade data may include blueberries, myrtle berries and other fruits of the genus Vaccinium.","","081040","081040","01355.02"
"885","Cream fresh","That portion of milk which is rich in milk fat and is separated by skimming or centrifuging.","","040120, 040130","040120, 040140, 040150","22120"
